땟,奸
땠,如
땡,妇
떠,妃
떡,好
떤,她
떨,妈
떪,戏
떫,羽
떰,观
떱,欢
떳,买
떴,红
떵,驮
떻,纤
떼,驯
떽,约
뗀,级
뗄,纪
뗌,驰
뗍,纫
뗏,巡
뗐,寿
뗑,弄
뗘,麦
뗬,玖
또,玛
똑,形
똔,进
똘,戒
똥,吞
똬,远
똴,违
뙈,韧
뙤,运
뙨,扶
뚜,抚
뚝,坛
뚠,技
뚤,坏
뚫,抠
뚬,扰
뚱,扼
뛔,拒
뛰,找
뛴,批
뛸,址
뜀,扯
뜁,走
뜅,抄
뜨,贡
뜩,汞
뜬,坝
뜯,攻
뜰,赤
뜸,折
뜹,抓
뜻,扳
띄,抡
띈,扮
띌,抢
띔,孝
띕,坎
띠,均
띤,抑
띨,抛
띰,投
띱,坟
띳,坑
띵,抗
라,坊
락,抖
란,护
랄,壳
람,志
랍,块
랏,扭
랐,声
랑,把
랒,报
랖,拟
랗,却
래,抒
랙,劫
랜,芙
랠,芜
램,苇
랩,芽
랫,花
랬,芹
랭,芥
랴,芬
략,苍
랸,芳
럇,严
량,芦
러,芯
럭,劳
런,克
럴,芭
럼,苏
럽,杆
럿,杠
렀,杜
렁,材
렇,村
레,杖
렉,杏
렌,杉
렐,巫
렘,极
렙,李
렛,杨
렝,求
려,甫
력,匣
련,更
렬,束
렴,吾
렵,豆
렷,两
렸,酉
령,丽
례,医
롄,辰
롑,励
롓,否
로,还
록,尬
론,歼
롤,来
롬,连
롭,轩
롯,步
롱,卤
롸,坚
롼,肖
뢍,旱
뢨,盯
뢰,呈
뢴,时
뢸,吴
룀,助
룁,县
룃,里
룅,呆
료,吱
룐,吠
룔,呕
룝,园
룟,旷
룡,围
루,呀
룩,吨
룬,足
룰,邮
룸,男
룹,困
룻,吵
룽,串
뤄,员
뤘,呐
뤠,听
뤼,吟
뤽,吩
륀,呛
륄,吻
륌,吹
륏,呜
륑,吭
류,吧
륙,邑
륜,吼
률,囤
륨,别
륩,吮
륫,岖
륭,岗
르,帐
륵,财
른,针
를,钉
름,牡
릅,告
릇,我
릉,乱
릊,利
릍,秃
릎,秀
리,私
릭,每
린,兵
릴,估
림,体
립,何
릿,佐
링,佑
마,但
막,伸
만,佃
많,作
맏,伯
말,伶
맑,佣
맒,低
맘,你
맙,住
맛,位
망,伴
맞,身
맡,皂
맣,伺
매,佛
맥,囱
맨,近
맬,彻
맴,役
맵,返
맷,余
맸,希
맹,坐
맺,谷
먀,妥
먁,含
먈,邻
먕,岔
머,肝
먹,肛
먼,肚
멀,肘
멂,肠
멈,龟
멉,甸
멋,免
멍,狂
멎,犹
멓,狈
메,角
멕,删
멘,条
멜,彤
멤,卵
멥,灸
멧,岛
멨,刨
멩,迎
며,饭
멱,饮
면,系
멸,言
몃,冻
몄,状
명,亩
몇,况
몌,床
모,库
목,庇
몫,疗
몬,吝
몰,应
몲,这
몸,冷
몹,庐
못,序
몽,辛
뫄,弃
뫈,冶
뫘,忘
뫙,闰
뫼,闲
묀,间
묄,闷
묍,判
묏,兑
묑,灶
묘,灿
묜,灼
묠,弟
묩,汪
묫,沐
무,沛
묵,汰
묶,沥
문,沙
묻,汽
물,沃
묽,沦
묾,汹
뭄,泛
뭅,沧
뭇,没
뭉,沟
뭍,沪
뭏,沈
뭐,沉
뭔,沁
뭘,怀
뭡,忧
뭣,忱
뭬,快
뮈,完
뮌,宋
뮐,宏
뮤,牢
뮨,究
뮬,穷
뮴,灾
뮷,良
므,证
믄,启
믈,评
믐,补
믓,初
미,社
믹,祀
민,识
믿,诈
밀,诉
밂,罕
밈,诊
밉,词
밋,译
밌,君
밍,灵
및,即
밑,层
바,屁
박,尿
밖,尾
밗,迟
반,局
받,改
발,张
밝,忌
밞,际
밟,陆
밤,阿
밥,陈
밧,阻
방,附
밭,坠
배,妓
백,妙
밴,妖
밸,姊
뱀,妨
뱁,妒
뱃,努
뱄,忍
뱅,劲
뱉,矣
뱌,鸡
뱍,纬
뱐,驱
뱝,纯
버,纱
벅,纲
번,纳
벋,驳
벌,纵
벎,纷
범,纸
법,纹
벗,纺
벙,驴
벚,纽
베,奉
벡,玩
벤,环
벧,武
벨,青
벰,责
벱,现
벳,玫
